category,subcategory,share
education,less_hs_other,0.118
education,hs,0.275
education,vocat,0
education,some_coll,0.307
education,coll,0.19
education,postgrad,0.111
race,asian,0.059
race,black,0.124
race,native,0.009
race,other,0.07
race,pref,0
race,white,0.738
hispanic,hispanic,0.162
hispanic,not_hispanic,0.838
hispanic,pref,0
sex,female,0.513
sex,male,0.487
hhi,pref,0
hhi,14k,0.106
hhi,15k,0.09
hhi,25k,0.089
hhi,35k,0.124
hhi,50k,0.174
hhi,75k,0.126
hhi,100k,0.15
hhi,150k,0.066
hhi,200k,0.076
age,18-29,0.213
age,30-39,0.172
age,40-49,0.16
age,50-59,0.167
age,60-69,0.149
age,70+,0.139
region,ne,0.172
region,midw,0.209
region,south,0.238
region,west,0.381